MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgdg,10BD-R322,null,54.52,2.183,13.48,12.67,3.483,7.232,3.252,1.63,0.37,0.205,21.9,48.5,27.8,34.6,384,5.9,7.8,16.6,128,20.2,182.4,609.8,,11.9,8.6,48.1,312.7,4.3,0.4,36,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 9:30,45.652976,-121.886964
Tgdg,10BD-R322,10BD-R322R,54.49,2.183,13.46,12.68,3.488,7.253,3.254,1.633,0.369,0.204,25.4,53,29.2,34.2,386.8,7,9.2,17,128.1,21.8,180.9,613.4,,12.5,8.8,48.5,312.6,3.4,1.6,36.8,-9,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 9:42,45.652976,-121.886964
Tgdg,10BD-R323,null,54.65,2.158,13.35,12.68,3.4,7.07,3.32,1.631,0.366,0.207,23.5,50.3,28.3,34.5,370.8,4.6,7,12.2,127.8,20.8,182.8,622,,12.1,7.4,48.4,304.7,4.6,2.2,36.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 10:37,45.653556,-121.885484
Tgdg,10BD-R324,null,54.48,2.153,13.32,12.72,3.388,7.035,3.276,1.649,0.365,0.207,21.3,50.2,27.4,33.7,366.1,4,6.8,11.8,127.6,20.3,181.8,609.9,,11.1,8,50.1,303.5,4.6,4.5,35.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 11:43,45.654536,-121.885234
Tgwr,10BD-R325,null,54.08,2.232,13.42,12.53,3.514,7.092,3.156,1.683,0.351,0.194,31.5,56.9,30.4,32.2,393.9,4.8,9.6,16.3,128.7,22.1,185.7,679.7,,12.4,8.9,50.4,342,5.1,3.5,35.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 12:49,45.650226,-121.882314
Tgsbmc,10BD-R332,null,53.58,1.942,14.01,11.78,4.708,8.688,3.004,1.226,0.317,0.204,20.4,41.6,24.7,37.7,325.7,31.2,14.5,26.4,118.9,21.2,166,501,,11.7,5.1,28.8,321.3,2.2,1.3,35.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 20:30,45.629206,-121.928714
Tgo,10BD-R333,null,56.31,1.814,13.82,10.91,3.503,7.136,3.189,1.761,0.309,0.183,26.1,56.3,28.4,31.6,302.6,3.8,6.5,12.2,122.5,20.9,186.5,704.1,,12.8,9.3,52,319.3,4.7,1.3,36.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 21:36,45.632636,-121.928794
Tgo,10BD-R334,null,56.27,1.956,13.75,10.99,3.454,7.105,3.277,1.794,0.331,0.191,29.1,56.6,26.3,33,311.6,2,9.3,14.3,127,21.9,196.7,703,,13.6,8.5,51.7,329.5,6.6,0.4,36.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 22:42,45.631786,-121.928384
Tgww,10BD-R335,null,54.45,2.054,13.62,12.37,3.692,7.547,3.088,1.568,0.322,0.204,24.6,52.4,30.1,35.4,377.1,5.6,7.6,10.8,129.2,21.7,183.2,591.8,,12.4,7.4,42.2,321.1,4.5,1.7,40,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/10/2011 23:49,45.630086,-121.928064
Tgww,10BD-R336,null,54.12,2.005,13.38,12.65,3.738,7.505,3.061,1.566,0.314,0.204,24.9,49.7,25.3,34,368.2,5.3,9,11.6,126.3,23,179,559.7,,13.1,6.3,41.4,316.2,4.1,1,37,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 0:55,45.629636,-121.927984
Tgwr,10BD-R340,null,54.6,2.335,13.52,12.17,3.392,6.991,3.069,1.918,0.362,0.188,27.3,57.2,28.5,30.7,365.9,4.8,11.4,19.7,127.6,20.6,199.3,692.2,,13.4,9.4,56.2,319.9,5.1,2.5,37.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 2:01,45.625136,-121.941314
Tgwr,10BD-R341A,null,54.54,2.309,13.53,11.96,3.464,6.926,3.294,1.802,0.365,0.18,28.9,53.3,29.7,32.4,369.9,6.6,12.6,20.9,126.8,21.8,199,693,,13.8,8.4,51.2,310.6,5.5,0.5,37.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 3:07,45.626306,-121.941894
Tgwr,10BD-R341B,null,54.69,2.32,13.63,11.96,3.454,7.091,3.171,1.891,0.369,0.19,22.7,53.9,31.3,30.9,373.2,5.6,12.1,21.1,128.4,21,201.6,700.6,,13.5,9.2,55.1,317.7,5,2.4,38.7,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 4:13,45.626286,-121.941764
Tgwr,10BD-R342,null,54.57,2.313,13.63,12.28,3.519,7.093,3.16,1.88,0.374,0.192,27.5,54.1,31.4,32,374.3,5,13.2,23.4,128.5,22.9,201.7,695,,13.5,8.3,55.3,317.2,4.6,1.6,37.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 5:19,45.626206,-121.942714
Tgsbsf,10BD-R344,null,53.4,1.824,14.05,11.56,4.937,8.725,2.867,1.282,0.288,0.196,21.5,42.3,24.1,38,334.4,39.8,18.4,31.7,116.1,22.2,160.2,488.2,,11.2,6.6,31.5,313,2.2,1,33.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 7:31,45.645036,-121.875314
Tgsbmc,10BD-R345,null,53.37,1.981,13.92,12.13,4.744,8.664,3.045,1.048,0.333,0.213,19.5,44.9,24.8,37.6,321,30.5,15.8,30.3,123.5,22.5,169.4,485.3,,11.9,5.7,22.8,322,2.4,0.7,35.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/11/2011 8:37,45.645136,-121.876014
Tgww,10BD-R346,null,54.47,2.056,13.65,12.61,3.762,7.615,3.188,1.445,0.324,0.208,23.7,48.9,26.3,34.8,377,5.1,8.3,11.7,129.7,21.9,183.5,561,,13.4,8.1,36,321.6,4.2,1.5,37.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 9:01,45.645306,-121.876764
Tgo,10BD-R347,null,55.8,1.947,13.78,11.53,3.474,7.122,3.234,1.721,0.328,0.189,24.8,63.2,29.5,31.7,309.9,2.1,8.8,15.4,123.3,21.1,194.5,705.7,,12.9,9.1,52,332.5,4.9,1.3,36.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 10:07,45.645586,-121.878044
Tgo,10BD-R347,10BD-R347R,55.65,1.946,13.72,11.27,3.479,7.105,3.226,1.718,0.327,0.189,27.1,53.4,29.5,31.9,308.4,2.4,10,15.6,121.2,24,194.2,712.1,,13.3,9.2,52,329.2,5.8,1.7,36.7,-9,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 20:13,45.645586,-121.878044
Tggc,10BD-R348,null,56.03,1.955,13.57,11.58,3.304,6.863,3.128,1.987,0.314,0.187,24.9,52.5,27.5,30.3,333.7,4.4,9.3,15.2,122,21.5,192.2,705.5,,13.1,10.2,58.2,310,4.6,1.9,35.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 11:13,45.646976,-121.879464
Tggc,10BD-R349,null,55.09,1.98,13.82,11.54,3.551,7.131,3.127,1.727,0.346,0.188,26.6,52,27,31.5,334.6,10.4,12.3,23.1,120.9,22.2,177.3,716.7,,11.9,7.9,50.1,333.1,4.5,0,36.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 12:19,45.647306,-121.879484
Tgdg,10BD-R350,null,54.35,2.171,13.39,12.87,3.58,7.234,3.158,1.655,0.366,0.208,21.2,48.9,26.4,35.1,384,6.2,9.4,16.3,127.3,22,179.3,607.6,,11.7,8.2,49.2,310.3,5.1,3.5,36.2,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 13:25,45.651886,-121.883544
Tgdg,10BD-R359,null,54.6,2.163,13.34,12.66,3.429,7.068,3.268,1.631,0.366,0.205,21,51.9,26.5,34.5,373.9,4.5,6.5,13.5,128.1,19.7,181.4,622.1,,10.5,8.2,48.4,306.1,4,2.9,36.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 15:37,45.630031,-121.945321
Tgdg,10BD-R360,null,54.64,2.157,13.38,12.54,3.44,7.066,3.207,1.825,0.368,0.205,22.4,53.3,28.5,34.2,374.3,6.1,8.1,12.5,126.6,20.6,183,607,,12.3,8,50.7,303.3,4.2,1.8,36.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 16:43,45.629876,-121.946294
Tgdg,10BD-R363,null,54.26,2.183,13.42,12.49,3.559,7.171,3.177,1.642,0.365,0.208,20.8,51.7,28.7,35.5,384.8,3.4,8.6,14.7,125.3,22.2,180.9,596.6,,11.9,8.4,49.4,310.6,5.8,2.2,35.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 17:49,45.626036,-121.948314
Tgtbp,10BD-R364,null,54.92,1.933,13.91,11.5,3.972,7.616,3.27,1.523,0.315,0.195,19.8,45.6,26.6,33.6,323.2,4.1,8.8,16.2,121.2,22.5,177.2,577.6,,12,6.6,45.5,313.5,3.3,2.4,36.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 21:07,45.626426,-121.947814
Tgtbp,10BD-R365,null,54.52,1.976,13.76,11.69,3.907,7.597,3.231,1.39,0.331,0.203,17.2,49.2,30.3,34.1,329,3.1,9.3,15.9,122.1,19.9,177.2,578.6,,11.5,8.4,44.7,316.2,3.2,1.8,36.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 22:13,45.626806,-121.949894
Tgwr,10BD-R366,null,54.06,2.251,13.45,12.2,3.451,7.044,3.201,1.722,0.354,0.194,27.6,53.5,31.1,32.9,398.1,4.5,10.6,15.1,128.8,20.5,185.9,677.7,,12.3,9.2,51.4,345.4,5.1,2.4,36.5,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/13/2011 23:19,45.626956,-121.946514
Tgww,10BD-R367,null,55.18,2.098,13.33,12.39,3.401,7.128,3.158,1.732,0.363,0.207,22.7,56,29.4,34.5,358.1,7.6,9.1,9.4,132.5,23.6,189.5,635.6,,13.1,8.6,49.7,321.6,6.1,0.2,39,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 0:25,45.629507,-121.931844
Tgwr,10BD-R373,null,54.99,2.341,13.36,12.26,3.219,6.851,3.124,2,0.402,0.195,27.4,60,30,31.7,367.7,2.2,8.3,15,132.7,23.6,193.1,717.1,,13,8.6,55.1,329.3,5.8,3.1,35.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 1:31,45.629336,-121.941214
Tgwr,10BD-R374,null,54.89,2.357,13.6,11.76,3.361,6.951,3.131,1.98,0.369,0.189,25.2,60.3,31.1,31.2,365.7,4.7,10.9,19.3,128.9,22,200,722.7,,13.4,9.5,56.6,319.7,6.7,1.6,37.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 2:37,45.629376,-121.941964
Tgwr,10BD-R375,null,54.49,2.327,13.62,11.95,3.451,7.127,3.136,1.848,0.367,0.192,25.1,56.7,29.6,32.1,371.4,5.4,13.2,21.9,129.1,20.7,201.2,701.8,,14,9,54.3,318.1,4,1.8,37.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 3:43,45.629136,-121.942394
Tgo,10BD-R383,null,56.38,1.805,13.79,10.96,3.488,7.12,3.185,1.768,0.309,0.184,25.9,51.7,29.9,30.1,298.5,5.3,7.2,11.7,120.1,21.7,186.9,692.1,,13.4,8.9,53.3,314.2,6.1,3.3,35.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 4:49,45.630506,-121.928564
Tgo,10BD-R384,null,55.9,1.941,13.72,11.36,3.493,7.068,3.208,1.716,0.325,0.189,22.6,56.9,27.2,31.4,324.7,7.6,10.8,15.9,125.3,20.9,185.7,697,,12.1,9.5,51.2,312.4,4.1,2.1,35.2,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 5:55,45.631056,-121.928934
Tggc,10BD-R385,null,56.19,1.955,13.63,11.39,3.313,6.882,3.102,1.986,0.314,0.187,22,57.1,28.9,30,335,4.7,9.2,16,125,21.7,191.2,705.7,,12.8,8.8,57.4,312.1,5.7,1.6,36.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 7:01,45.631883,-121.929375
Tggc,10BD-R386,null,55.28,1.983,13.81,11.4,3.647,7.194,3.189,1.749,0.347,0.191,20.7,51.7,27.7,32.9,337.2,9.8,13,21.3,124.2,21.9,175.5,678.5,,11.3,9.3,49.8,332.7,4.5,2.5,34.7,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 8:07,45.632376,-121.929594
Tgwr,10BD-R387,null,55.3,2.353,13.34,12.62,3.353,6.668,3.347,1.762,0.404,0.197,27,56.7,30.1,31.4,365.2,1.5,8.3,15.7,132.1,22.8,193.3,719,,13.3,9.8,52.1,324.1,5.5,2.2,38.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 9:13,45.632706,-121.930294
Tgwr,10BD-R388,null,54.63,2.311,13.59,12.04,3.443,7.067,3.053,1.992,0.368,0.19,24.1,54.2,26.5,31.5,366.9,6.6,12.9,20.1,130.3,21.3,200.4,712.9,,13.3,9.1,57.3,318.1,4.7,1.2,38.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 10:19,45.634336,-121.929984
Tgwr,10BD-R389,null,54.52,2.329,13.62,11.87,3.415,7.113,3.045,1.895,0.375,0.192,24.2,59.4,29.1,32.2,372.3,5.7,13.1,21.6,128.5,21.4,201.5,699.5,,12.9,9.2,58.5,319.1,5.7,1.8,37.7,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 11:25,45.634636,-121.930234
Tgwr,10BD-R390,null,54.49,2.263,13.54,12.44,3.502,7.099,3.226,1.729,0.358,0.195,25.3,57.5,31.4,32.1,402,4.9,10,14.4,131.2,21.8,188.7,691.6,,13,8.9,51.4,342.7,4.7,3.7,35.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 12:31,45.635586,-121.930564
Tgdg,10BD-R391,null,54.77,2.169,13.39,12.7,3.392,7.063,3.285,1.685,0.366,0.204,24,48.8,27.1,35.3,372.4,5.2,8,12.7,128.9,22.8,183.7,610.3,,12,7.5,49.8,306.2,4.9,1.1,36.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 13:37,45.636056,-121.930714
Tgtbp,10BD-R392,null,54.83,1.984,13.82,11.96,3.953,7.614,3.197,1.497,0.329,0.2,18.9,47.4,27.7,34.4,332.5,4.1,9,15.8,122.4,21.3,179.4,572.2,,12.6,6,46.5,314.8,3,2.2,36.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 14:43,45.630126,-121.908894
Tgtbp,10BD-R393,null,54.84,1.949,13.86,11.9,3.971,7.622,3.199,1.438,0.321,0.199,22.4,48.4,26.4,34.3,321.6,3,8.6,16.8,120.4,21.5,177.8,572.6,,12.2,5.6,46.2,314.2,3.3,1.9,36.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/14/2011 15:49,45.629726,-121.909314
Tgdg,10BD-R394,null,55.29,2.182,13.46,12.8,3.487,7.159,3.176,1.833,0.374,0.208,22.3,54.4,27.7,33.8,372.7,4.5,6.9,14.4,130.6,20.3,184.1,625.6,,11.8,8.1,51.5,308.9,3.2,1.4,36.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 8:19,45.629376,-121.909894
Tgwr,10BD-R395A,null,54.43,2.247,13.51,12.31,3.457,7.062,3.16,1.753,0.355,0.198,24.3,52.3,30.6,32.3,396.7,4.9,8.3,15,130.3,22.4,185.8,685.2,,12.6,9.5,52.3,343.6,5.1,2.7,35.1,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 9:25,45.628886,-121.910844
Tgwr,10BD-R395A,10BD-R395AR,54.73,2.254,13.58,12.5,3.49,7.098,3.189,1.758,0.357,0.199,20.7,52.9,29.7,32.6,398.8,5.4,8.1,14.5,130,23.6,187,680.6,,12.8,8.6,53,346.9,4.8,3.5,35.3,-9,EvartsUnpubBonnevilleDam,WSU,whole rock,6/16/2011 4:07,45.628886,-121.910844
Tgwr,10BD-R395B,null,55.4,2.277,13.58,12.15,3.225,6.809,3.142,2.007,0.422,0.192,27.3,61.1,32.9,30,330.6,5.8,9,14.3,133.2,21.6,215.4,748.8,,13.9,8.6,58.5,326.3,7,3,40.3,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 10:31,45.628886,-121.911544
Tgwr,10BD-R396,null,54.71,2.339,13.61,12.04,3.417,6.986,3.04,1.899,0.36,0.19,25.5,58.8,31.3,32,371.3,4,10.8,21.7,127.8,22.2,200.7,714.6,,13,9.6,57,320.4,5.1,0,39,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 11:37,45.627956,-121.912734
Tgwr,10BD-R397,null,55.25,2.353,13.39,12.73,3.239,6.892,3.131,1.89,0.405,0.198,21.6,57.5,29.9,30.9,366.9,1.6,7.9,15.8,132.3,21.9,192.2,717.8,,12.6,8.9,56.5,331.4,4.7,1.1,37.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 12:43,45.627706,-121.912894
Tggc,10BD-R398,null,56.02,1.964,13.81,11.33,3.581,7.185,3.174,1.859,0.325,0.193,26.9,47.7,26.3,32.2,334.6,8.4,11.1,20.9,123.1,22.6,179.6,686.5,,12.2,8.9,53.8,322.7,5.7,2,35.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 13:49,45.627136,-121.913644
Tggc,10BD-R399,null,55.74,1.935,13.86,11.8,3.652,7.228,3.083,1.853,0.324,0.193,28.2,50.7,26.2,32,332,9.3,11.2,20.2,121.6,20.2,175.3,670.5,,11.6,8.7,55.1,324.4,5.2,2,35.4,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 14:55,45.626806,-121.914144
Tggc,10BD-R400,null,56.37,1.967,13.65,11.62,3.311,6.857,3.093,1.894,0.315,0.188,25.9,56.1,29.9,31.6,333.5,5.2,9,16.6,120.9,21.1,192,739.4,,12.5,9.5,58.3,313.4,5.7,1.5,37.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 16:01,45.626556,-121.914384
Tggc,10BD-R401,null,56.13,1.956,13.65,11.54,3.308,6.872,3.145,1.855,0.31,0.185,23.1,50,25.8,32.2,337.8,4.2,8.8,17.5,122.8,22.9,191.1,719.8,,12.1,10,56.4,315.8,4.5,1.8,36.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 17:07,45.626206,-121.914464
Tggc,10BD-R402,null,56.26,1.96,13.61,11.49,3.298,6.855,3.026,2.121,0.313,0.185,25.7,52.1,26.7,31.1,338.9,6.6,8.4,16.8,120.9,22.3,193.2,711.3,,12.6,8,57.5,310.5,3.9,3.1,35.8,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 18:13,45.625806,-121.914884
Tgo,10BD-R403,null,55.12,2.077,13.81,12.25,3.623,7.268,3.16,1.606,0.367,0.194,29,57.1,33.4,32.2,348.8,12.4,11.1,20.9,127.6,21.5,190.1,683.5,,12.7,9,43,324.8,4.9,0.9,42.2,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 19:19,45.625336,-121.915384
Tgtbw,10BD-R404,null,55.54,2.259,13.24,12.33,3.051,6.686,3.353,1.692,0.392,0.196,27.1,61.1,33.6,32,343.9,2,7.6,26,135.6,22.7,210.8,692.5,,14,9.2,54.3,305.6,4.7,2.5,41.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 20:25,45.630586,-121.909884
Tgdg,10BD-R405,null,54.35,2.172,13.42,12.56,3.518,7.187,3.198,1.611,0.367,0.203,23.6,46.6,27.9,34.3,384.2,7.8,9.4,17.8,128.3,21.3,179.5,598.7,,11.5,6.1,47.1,312.9,4,2.5,35.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 21:31,45.628086,-121.949484
Tgtbp,10BD-R406,null,55.23,1.944,13.93,11.69,3.953,7.639,3.213,1.456,0.32,0.196,20.4,46.6,25.6,33.3,320.2,3.8,9.3,17.1,122,20.9,178.6,580.1,,11.9,6.5,46,319,4.5,1.3,35.9,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 22:37,45.627956,-121.949884
Tgtbp,10BD-R407,null,54.87,1.984,13.83,11.92,3.969,7.611,3.197,1.405,0.331,0.202,16.4,49.8,27.1,34.4,327,3.5,7.1,15.2,122.4,21.1,179.5,582.7,,12.2,6.5,43.4,316.1,4.4,1,36.7,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/15/2011 23:43,45.627476,-121.950134
Tgtbw,10BD-R412,null,55.42,2.257,13.25,12.35,3.06,6.677,3.179,1.883,0.388,0.196,25.5,56.7,32.9,30.8,349.5,2.4,8.2,24.9,134.8,21.2,209.6,685.8,,14.5,9.7,59.1,306.1,3.6,2.8,42.6,20,EvartsUnpubBonnevilleDam,WSU,whole rock,6/16/2011 3:01,45.625476,-121.896884
Twfsh,10BV-G1402,null,50.73,2.933,13.11,14.15,4.388,8.252,2.765,1.382,0.596,0.235,25.2,54,30.9,37.3,416,37.3,19.6,29.2,142.5,23.4,194.3,551.4,,14.7,6.2,37.4,318.2,3.1,1.1,42.7,20,EvartsFleck2017,WSU,whole rock,3/24/2011 0:00,45.630826,-122.113744
Tgsbm,10BV-G1403,null,53.59,1.756,13.97,10.97,4.662,8.501,2.925,1.349,0.324,0.195,22,50.3,25.7,34.5,309.6,35,15.7,27.4,117.8,20.7,164.6,577.2,,11.1,6.6,33.9,324.6,4.1,1.2,34.4,20,EvartsFleck2017,WSU,whole rock,3/24/2011 0:00,45.630736,-122.113114
Twfss,10BV-G1404,null,50.28,3.041,13.24,14.31,4.02,8.014,2.873,1.347,0.705,0.235,31.2,71.5,39.7,38,399.9,13.7,17.8,22.2,161.4,22.9,222.6,724.2,,16,7.4,33.1,321.2,3.3,1.4,50.7,20,EvartsFleck2017,WSU,whole rock,3/24/2011 0:00,45.633176,-122.113944
Twfss,10BV-G1405,null,51.34,2.976,12.98,13.97,3.884,7.898,2.919,1.505,0.677,0.231,30.4,66,37.3,36,396.6,12.2,16.4,22.3,153.6,22,218.4,641.2,,17.3,7,40.1,318.9,4,2.2,48.7,20,EvartsFleck2017,WSU,whole rock,3/25/2011 0:00,45.633986,-122.115764
Tgww,10BV-G1406,null,54.55,2.108,13.16,12.59,3.331,7.008,2.92,1.931,0.367,0.205,21.8,54.7,29.3,34.6,354.6,8.6,8,12.9,133.9,21.7,189.4,619.2,,13.4,6.6,47.1,313,4.2,1.2,37.3,20,EvartsUnpubBridalVeil,WSU,whole rock,3/25/2011 0:00,45.570936,-122.138114
Tgo,10BV-G1407,null,55.48,1.957,13.56,11.12,3.672,6.628,3.355,1.666,0.342,0.154,25,55.7,27.6,32.4,329.8,4.5,9.6,17,126.4,22.6,190.3,680,,13.2,8.4,46.7,313.4,5.8,3.3,36,20,EvartsUnpubBridalVeil,WSU,whole rock,3/25/2011 0:00,45.571476,-122.138944
Tgo,10BV-G1408,null,55.37,1.925,13.52,11.59,3.462,7.035,3.19,1.773,0.322,0.187,26.1,52,26.9,30.7,325.5,8.8,10.5,15.2,122.9,22.2,184.9,682.6,,11.6,8.9,51.9,311.4,5.2,2,35.3,20,EvartsUnpubBridalVeil,WSU,whole rock,3/25/2011 0:00,45.571706,-122.139194
Tgo,10BV-G1409,null,55.26,1.966,13.44,11.78,3.408,6.973,3.201,1.744,0.334,0.189,21.9,54.7,27.6,31,322.2,9.4,10.5,16.4,126.3,21.9,188.3,692.5,,12.6,8.1,52,313.8,5.5,3.3,35,20,EvartsUnpubBridalVeil,WSU,whole rock,3/25/2011 0:00,45.572076,-122.139334
Tggc,10BV-G1410A,null,55.56,1.948,13.5,11.41,3.403,6.959,3.138,1.857,0.316,0.187,31.9,57,29.4,32.2,332.4,6.1,10.5,18.3,124.6,20.8,191.9,717.3,,12,9.1,54.2,313,5.8,1.1,35.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.603226,-122.003894
Tggc,10BV-G1410B,null,54.65,1.959,13.61,11.62,3.631,7.133,3.182,1.709,0.344,0.189,23.2,47.9,28.6,31.9,329.2,11.8,13,22.5,122.4,22.1,176.6,675.2,,11.3,9.4,50.4,330.5,3.8,1.8,34.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.603126,-122.004184
Tgwr,10BV-G1411,null,54.6,2.333,13.13,12.48,3.183,6.815,3.037,2.055,0.403,0.196,23.4,55.4,26.5,31.4,356.6,3.6,8.9,16,131,23.4,194.8,707.2,,12.9,8.8,56.9,329.1,5.9,1.2,37,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.603376,-122.004544
Tgwr,10BV-G1412,null,54.55,2.34,13.47,11.96,3.396,7.025,3.111,1.888,0.364,0.19,27.7,57,28.9,31.4,367.1,4.4,12.6,18.8,128.3,22.2,200.6,720.1,,13.3,7.5,56.2,319.9,5.3,4,37.9,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.603876,-122.004714
Tgwr,10BV-G1413,null,54.43,2.328,13.45,12.19,3.466,7.056,3.064,1.959,0.369,0.192,30.2,53.8,27.7,29.7,367.9,6.1,12.5,22,131.2,20.7,201.5,704.2,,13.6,8.8,56.8,315.7,5.1,3.5,38.3,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.603886,-122.004994
Tgwr,10BV-G1414,null,54.02,2.257,13.45,12.1,3.505,7.122,3.166,1.788,0.36,0.198,25.5,52.1,29,32.8,397.7,4.7,10.8,16.2,129.2,22,186.1,679.8,,12.4,8.6,51,340.9,4.7,2.1,36.5,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.604626,-122.005264
Tgwr,10BV-G1415,null,53.94,2.268,13.5,12.43,3.615,7.173,3.003,1.856,0.369,0.202,30.3,53.7,30.1,32.5,403,7.5,13.5,18.6,132.5,20,186.5,675.3,,12.8,8,50.8,334.1,4.3,1.8,37.6,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.605156,-122.005104
Tgdg,10BV-G1416,null,53.86,2.166,13.22,12.65,3.521,7.189,3.18,1.627,0.367,0.204,25.2,53.5,29,33.3,382.3,6.7,9.5,16.8,128.1,21,180.2,595.7,,12.3,6.8,48.6,310,4.7,0.9,35.8,20,EvartsUnpubMultnomahFalls,WSU,whole rock,3/25/2011 0:00,45.605256,-122.005434
Tggc,10BV-G1421,null,56.21,1.984,13.71,9.83,3.267,6.858,3.167,1.929,0.32,0.184,24.2,54.5,28.9,30.3,342.7,5.7,10.1,18.5,123.9,22.7,193.8,860.1,,13.3,8.4,57,321.6,5.1,3.1,36.5,20,EvartsUnpubBridalVeil,WSU,whole rock,3/25/2011 0:00,45.564676,-122.158834
