MapUnit,FieldSampleID,AlternateSampleID,SiO2,TiO2,Al2O3,FeOt,MgO,CaO,Na2O,K2O,P2O5,MnO,La,Ce,Nd,Sc,V,Cr,Ni,Cu,Zn,Ga,Zr,Ba,Cs,Nb,Pb,Rb,Sr,Th,U,Y,LocationConfidenceMeters,LocationSourceID,AnalysisSourceID,MaterialAnalyzed,DateAnalysis,Latitude,Longitude
Tgo,05BV-G429,null,54.81,1.938,13.7,11.44,3.649,7.115,3.202,1.681,0.336,0.189,27.1,49.3,26.8,31.6,329.3,13.9,14.2,20.4,118.9,21.5,169.3,675.4,,12.1,10,48,321.3,4,,33.3,-9,EvartsFleck2017,WSU,whole rock,2/9/2006 14:15,45.658626,-122.012234
Tgo,05BV-G429A,null,54.81,1.938,13.7,11.44,3.649,7.115,3.202,1.681,0.336,0.189,,,,31.6,328.8,9,11,19,121,,177,671,,13.3,,51,325,,,35,-9,EvartsFleck2017,WSU,whole rock,,45.658622,-122.012231
Tgo,05BV-G429B,null,54.39,1.954,13.59,11.38,3.566,7.089,3.155,1.731,0.344,0.187,25.4,49.3,27.7,31.2,331.9,12.4,11,24.2,122.9,20.4,175,674.1,,12.5,9.3,48.8,324.8,5.7,0.4,34.4,20,EvartsFleck2017,WSU,whole rock,3/12/2010 22:44,45.659356,-122.012024
Tgo,05BV-G430,null,54.5,1.99,13.51,11.72,3.598,7.082,3.108,1.792,0.35,0.201,22.8,53.2,27.2,32.2,334.3,15.8,12.3,17.2,125.1,21.4,180.4,674.4,,12.7,8.6,46.6,306.6,3.5,,36.3,20,EvartsFleck2017,WSU,whole rock,2/9/2006 15:19,45.669686,-122.015574
Tgo,05BV-G434,null,54.94,1.919,13.57,11.19,3.463,6.936,3.193,1.721,0.325,0.186,29.6,52.7,27.4,30.7,320.1,13.7,11.5,16.7,122.3,21,176.4,688.1,,12.1,9.4,49.3,309.1,4,,35.2,20,EvartsFleck2017,WSU,whole rock,2/9/2006 16:23,45.664056,-122.014274
Tgo,05BV-G439,null,54.91,1.957,13.73,10.87,3.576,7.108,3.215,1.697,0.339,0.186,23.4,51.9,28.8,31.6,330.8,15.6,13.5,22.1,121.4,22.7,170.6,713.1,,12.4,7.7,48.7,327.5,3.5,,34,20,EvartsFleck2017,WSU,whole rock,2/9/2006 17:27,45.711396,-122.008744
Tggc,05BV-G466,null,55.47,1.937,13.5,11.3,3.309,6.807,3.223,1.848,0.315,0.184,27.2,53.9,26.3,31.7,334.1,8.9,10.5,16.3,117.9,19.8,185.3,708.8,,12.6,9.7,53.1,302.1,4.9,,35.8,20,EvartsUnpubBridalVeil,WSU,whole rock,2/9/2006 18:31,45.550216,-122.175974
Tgo,05BV-G467,null,55.05,1.9,13.57,11.31,3.495,6.954,3.218,1.742,0.32,0.185,25.4,55.7,28,30.3,318.2,12.9,10.7,14.2,116.8,21,176.5,683.3,,12.3,9.2,48.9,306.8,3.7,,33.8,20,EvartsUnpubBridalVeil,WSU,whole rock,2/9/2006 19:35,45.548856,-122.175484
Tgo,05BV-G468,null,55.19,1.987,13.6,11.76,3.6,7.177,3.266,1.663,0.351,0.197,26.2,51.7,27,32,342.9,8.2,11,18,125.8,20.9,180.1,681.2,,13,9.6,45.8,315,3.4,,37.2,20,EvartsUnpubBridalVeil,WSU,whole rock,2/9/2006 20:39,45.546826,-122.173684
Tgww,05BV-G469,null,54.88,2.076,13.27,12.18,3.509,6.831,3.322,1.584,0.355,0.191,23.2,52.1,29.5,32.9,350.5,11,6.9,8.3,127.9,22.1,181.3,628.6,,12.4,7.7,44.7,306.3,3.2,,37.2,20,EvartsUnpubBridalVeil,WSU,whole rock,2/9/2006 21:43,45.546286,-122.171734
Tgww,05BV-G470,null,54.44,2.032,13.59,12.19,3.872,7.591,3.071,1.666,0.312,0.208,21.9,47.2,28,35.7,376.5,11.6,9.5,10.2,127.3,22.7,174.3,565.8,,12.5,8.7,40.1,310.2,3.1,,36.4,20,EvartsUnpubBridalVeil,WSU,whole rock,2/9/2006 22:47,45.545036,-122.171264
Tgsbsf,05BV-G471,null,54.13,1.788,14.22,11.11,5.011,8.847,3.005,1.053,0.281,0.191,20.1,42.6,22.7,38.3,321.8,53.6,20.6,36.4,112.9,21.8,153.5,465.4,,10.4,5.5,26.4,306.9,1.8,,34,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/4/2006 9:28,45.542456,-122.170094
Twfsh,05BV-G472,null,50.87,2.907,13.13,13.77,4.206,7.893,2.927,1.284,0.55,0.208,20.8,60.1,34.9,35.2,412.2,41.1,18.2,27.4,132.4,18.8,189,586.2,,14.9,6.3,35,295,3.1,,41.5,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/4/2006 10:31,45.543606,-122.166594
Tgsbsf,05BV-G475,null,53.07,1.801,13.96,10.74,4.797,8.51,2.908,1.3,0.289,0.193,19.7,43,25,35.3,330.7,43.1,20.8,29.8,114.4,20.9,155,487.9,,10.6,5.9,31,305.7,4.4,,31.8,-9,EvartsUnpubBridalVeil,WSU,whole rock,5/26/2006 21:39,45.546226,-122.170434
Tggc,05BV-G476A,null,55.13,1.984,13.77,11.33,3.624,7.095,3.24,1.74,0.344,0.198,,,,32.2,341,14,13,20,122,,173,691,,12.5,,49,327,,,34,-9,EvartsUnpubBridalVeil,WSU,whole rock,,45.553256,-122.179344
Tggc,05BV-G476B,null,55.52,1.946,13.62,11.39,3.275,6.779,2.993,1.826,0.308,0.181,23.6,56.3,28.4,30.5,329.1,8.2,7.8,17.2,126,19.5,190.5,751.2,,11.3,8.4,51.9,311.5,7.1,3.1,36.3,20,EvartsUnpubBridalVeil,WSU,whole rock,2/9/2009 4:06,45.553376,-122.180794
Tsp,05BV-G497B,null,51.17,1.661,14.56,10.61,6.976,10.574,2.432,0.62,0.228,0.185,20,40.7,21.3,35.2,283.5,101,51.4,43.7,96.2,19.9,133,266.9,,11.4,5.2,12.9,227.3,0.8,,27.8,20,EvartsUnpubBridalVeil,WSU,whole rock,5/12/2006 18:18,45.605876,-122.227444
Tgsbsf,05BV-G502A,null,54,1.851,14.48,10.78,4.23,8.724,2.786,1.193,0.297,0.186,23.9,46.3,30.2,38.6,332.4,45.9,16.6,34.7,117.3,20.4,158.6,553.9,,11.1,5.6,29.7,316.4,2.2,,57.5,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/4/2006 12:39,45.585126,-122.204764
Twfsh,05BV-G502B,null,51.98,2.926,13.49,12.26,4.018,8.444,2.832,1.257,0.564,0.186,27.5,56.4,34.7,39,423.1,45.2,32.9,31.1,192.4,22.6,188.3,559.1,,14.2,7.3,31.5,319.7,3.5,,48.4,-9,EvartsUnpubBridalVeil,WSU,whole rock,2/4/2006 13:43,45.585256,-122.203284
